snapshot_at,product,contract_id,delivery_year_month,first_available_bar,last_available_bar,status,raw_payload_path,bars
2026-08-13T10:32:49+08:00,rb,rb2608,2026-08,,,failed,,
2026-08-13T10:32:49+08:00,rb,rb2609,2026-09,,,failed,,
2026-08-13T10:32:49+08:00,rb,rb2610,2026-10,,,failed,,
2026-08-13T10:32:49+08:00,rb,rb2611,2026-11,,,failed,,
2026-08-13T10:32:49+08:00,rb,rb2612,2026-12,,,failed,,
2026-08-13T10:32:49+08:00,rb,rb2701,2027-01,,,failed,,
2026-08-13T10:32:49+08:00,rb,rb2702,2027-02,,,failed,,
2026-08-13T10:32:49+08:00,rb,rb2703,2027-03,,,failed,,
2026-08-13T10:32:49+08:00,rb,rb2704,2027-04,,,failed,,
2026-08-13T10:32:49+08:00,i,i2608,2026-08,,,failed,,
2026-08-13T10:32:49+08:00,i,i2609,2026-09,,,failed,,
2026-08-13T10:32:49+08:00,i,i2610,2026-10,,,failed,,
2026-08-13T10:32:49+08:00,i,i2611,2026-11,,,failed,,
2026-08-13T10:32:49+08:00,i,i2612,2026-12,,,failed,,
2026-08-13T10:32:49+08:00,i,i2701,2027-01,,,failed,,
2026-08-13T10:32:49+08:00,i,i2702,2027-02,,,failed,,
2026-08-13T10:32:49+08:00,i,i2703,2027-03,,,failed,,
2026-08-13T10:32:49+08:00,i,i2704,2027-04,,,failed,,
2026-08-13T10:32:49+08:00,jm,jm2608,2026-08,,,failed,,
2026-08-13T10:32:49+08:00,jm,jm2609,2026-09,,,failed,,
2026-08-13T10:32:49+08:00,jm,jm2610,2026-10,,,failed,,
2026-08-13T10:32:49+08:00,jm,jm2611,2026-11,,,failed,,
2026-08-13T10:32:49+08:00,jm,jm2612,2026-12,,,failed,,
2026-08-13T10:32:49+08:00,jm,jm2701,2027-01,,,failed,,
2026-08-13T10:32:49+08:00,jm,jm2702,2027-02,,,failed,,
2026-08-13T10:32:49+08:00,jm,jm2703,2027-03,,,failed,,
2026-08-13T10:32:49+08:00,jm,jm2704,2027-04,,,failed,,
2026-08-13T10:32:49+08:00,j,j2608,2026-08,,,failed,,
2026-08-13T10:32:49+08:00,j,j2609,2026-09,,,failed,,
2026-08-13T10:32:49+08:00,j,j2610,2026-10,,,failed,,
2026-08-13T10:32:49+08:00,j,j2611,2026-11,,,failed,,
2026-08-13T10:32:49+08:00,j,j2612,2026-12,,,failed,,
2026-08-13T10:32:49+08:00,j,j2701,2027-01,,,failed,,
2026-08-13T10:32:49+08:00,j,j2702,2027-02,,,failed,,
2026-08-13T10:32:49+08:00,j,j2703,2027-03,,,failed,,
2026-08-13T10:32:49+08:00,j,j2704,2027-04,,,failed,,
