snapshot_at,product,contract_id,delivery_year_month,first_available_bar,last_available_bar,status,raw_payload_path,bars
2026-08-13T10:59:16+08:00,rb,rb2608,2026-08,2025-08-15T21:00:00,2026-08-13T10:00:00,ok,raw/kline_rb2608.json,1623
2026-08-13T10:59:16+08:00,rb,rb2609,2026-09,2025-09-15T21:00:00,2026-08-13T10:00:00,ok,raw/kline_rb2609.json,1518
2026-08-13T10:59:16+08:00,rb,rb2610,2026-10,2025-10-15T21:00:00,2026-08-13T10:00:00,ok,raw/kline_rb2610.json,1408
2026-08-13T10:59:16+08:00,rb,rb2611,2026-11,2025-11-17T21:00:00,2026-08-13T10:00:00,ok,raw/kline_rb2611.json,1238
2026-08-13T10:59:16+08:00,rb,rb2612,2026-12,,,failed,raw/kline_rb2612.json,
2026-08-13T10:59:16+08:00,rb,rb2701,2027-01,2026-01-15T21:00:00,2026-08-13T10:00:00,ok,raw/kline_rb2701.json,962
2026-08-13T10:59:16+08:00,rb,rb2702,2027-02,,,failed,raw/kline_rb2702.json,
2026-08-13T10:59:16+08:00,rb,rb2703,2027-03,2026-03-16T21:00:00,2026-08-13T10:00:00,ok,raw/kline_rb2703.json,703
2026-08-13T10:59:16+08:00,rb,rb2704,2027-04,2026-04-15T21:00:00,2026-08-13T10:00:00,ok,raw/kline_rb2704.json,560
2026-08-13T10:59:16+08:00,i,i2608,2026-08,,,failed,raw/kline_i2608.json,
2026-08-13T10:59:16+08:00,i,i2609,2026-09,2025-09-12T21:00:00,2026-08-13T10:00:00,ok,raw/kline_i2609.json,1525
2026-08-13T10:59:16+08:00,i,i2610,2026-10,2025-10-22T21:00:00,2026-08-13T10:00:00,ok,raw/kline_i2610.json,1373
2026-08-13T10:59:16+08:00,i,i2611,2026-11,2025-11-14T21:00:00,2026-08-13T10:00:00,ok,raw/kline_i2611.json,1254
2026-08-13T10:59:16+08:00,i,i2612,2026-12,2025-12-12T21:00:00,2026-08-13T10:00:00,ok,raw/kline_i2612.json,1114
2026-08-13T10:59:16+08:00,i,i2701,2027-01,2026-01-16T21:00:00,2026-08-13T10:00:00,ok,raw/kline_i2701.json,955
